source_id,bp_rp,phot_g_mean_mag,parallax
138955695403964288,3.350370407104492,18.424570083618164,6.074864533536479
139212985419039360,1.910696029663086,20.5852108001709,5.562246952581739
139334859412930176,1.5123863220214844,16.526296615600586,5.010561299087151
139474600468996224,3.499563217163086,17.25017738342285,9.325562216328318
139509643106450048,2.6286087036132812,20.248899459838867,5.976935742398131
139589426418879744,3.0374679565429688,16.058494567871094,5.314232919971648
140600770957973376,2.8033828735351562,20.168256759643555,7.7092122450568805
140662171809261184,3.0545597076416016,17.542503356933594,5.090348448907641
140691721185266944,3.2696781158447266,16.761381149291992,12.788132828898593
141350573463112832,2.3855323791503906,20.536693572998047,6.184665388477064
141487874978760064,1.3993453979492188,13.165107727050781,5.216423776631339
141573636885541248,2.3979930877685547,15.610159873962402,6.115840330998474
141574530238738560,2.67132568359375,16.857135772705078,5.037440906133157
141699664109142912,3.630826950073242,18.801570892333984,13.476745453377191
141753441396676096,3.0347862243652344,17.26168441772461,5.56772942143362
141908575615265408,2.633481979370117,16.642866134643555,8.212056887401452
141939666882011264,1.6915225982666016,20.64544677734375,6.959277424703273
142325599760180096,0.4061603546142578,19.977741241455078,6.324041963305824
142349720296400768,1.9700965881347656,17.989030838012695,5.19026172267593
142391360005654400,2.8433914184570312,17.488750457763672,5.521404126192068
142392876127313280,2.470181465148926,14.226919174194336,8.191684272920451
142531105352903936,3.2998085021972656,17.38437843322754,12.037055539641358
142564399941153408,3.353668212890625,18.83538818359375,17.726239872455327
142575704295480704,2.606912612915039,17.385334014892578,5.145011374635635
142589001514070528,2.580892562866211,15.245523452758789,8.773342265790056
142621677625354624,2.2537107467651367,15.15149211883545,5.7996899839648774
142646622795278592,2.5002193450927734,17.02526092529297,5.107694715774915
142656445383446400,3.1387596130371094,19.19886016845703,5.248418874883596
142698746518202880,0.6965093612670898,10.317281723022461,5.672394523617207
142826977061659776,2.946162223815918,16.734466552734375,6.067837622765228
142883567549568896,3.8375511169433594,19.08941650390625,14.738982639330121
142923012530471808,2.934136390686035,17.08111000061035,6.65817751372714
142950736543879168,3.3665504455566406,17.84465980529785,7.374676518549172
142974002382086400,0.7162227630615234,9.72004222869873,6.421610641641186
142985409815902080,2.1912622451782227,15.143654823303223,6.375113499309967
143005097945490432,1.992354393005371,14.722784042358398,8.475154298175477
143049593806553600,2.046292304992676,14.44387435913086,6.7269634675775825
143082574858730112,0.7473363876342773,9.819854736328125,5.745645099993615
143114361911717888,2.554107666015625,20.270906448364258,6.08670234032652
143180744929027456,2.5818004608154297,19.847537994384766,11.661655014357903
143183837303028736,2.744786262512207,15.794892311096191,9.940707276848379
143250185959588736,2.5487804412841797,16.76500129699707,5.019601729859216
143347698896762624,2.722964286804199,16.03756332397461,6.059372016294505
143416452732744192,1.6188011169433594,20.657398223876953,5.957154187804808
143433250348821120,0.7640743255615234,20.6563720703125,8.230739039251738
143530939381781632,2.4559383392333984,19.485158920288086,5.799503297119749
143548084889112960,2.446268081665039,15.713666915893555,5.863195254903793
143629032137723392,1.8852930068969727,13.509367942810059,8.478482204769534
143685317686673152,1.0639076232910156,19.848846435546875,5.705355756022236
143707548437006720,1.2361984252929688,10.219008445739746,19.209591128023373
143738055589537664,2.3940486907958984,20.482887268066406,7.63590934481008
143783410444185728,2.572681427001953,19.555179595947266,5.274493343358408
143796299640971392,3.294210433959961,17.452722549438477,5.39616415518224
143824298530836224,1.0492029190063477,11.596309661865234,5.988606897441822
143881610576113536,2.1871814727783203,19.229490280151367,5.304959831563804
143899859892814336,2.567990303039551,16.11503028869629,5.720224217861534
143983182258217600,3.1249284744262695,16.512678146362305,11.252176102545322
143988989053982592,2.657562255859375,17.510635375976562,5.174463661681708
144016408125110272,0.38779640197753906,8.604251861572266,6.420391686033416
196674871836783104,0.9581260681152344,20.913330078125,5.757886393309699
196864881189832960,1.9010124206542969,20.371540069580078,5.049200751008444
196925526129116672,2.581906318664551,16.22250747680664,5.528633903492833
196957064073057152,3.1441478729248047,17.3620662689209,8.039589104598901
197005202066595456,3.463510513305664,18.781301498413086,7.115777494898318
197292208961889920,3.1870803833007812,18.144044876098633,6.289625607484795
197401167988934656,2.542452812194824,15.635811805725098,5.598692764139552
197435424644593792,1.5222301483154297,18.178211212158203,5.193795307589612
197438929341389312,2.1618175506591797,20.490798950195312,5.186086586147905
197461224518723328,2.855182647705078,17.235443115234375,5.71637616344142
197487548369570816,3.1849536895751953,15.950758934020996,19.738110069110867
197494656538287872,0.8160572052001953,10.793901443481445,6.159329807431333
197787985628652544,0.7335243225097656,20.889118194580078,5.288265903836828
197840933982094208,2.6233367919921875,17.646108627319336,5.596447829890439
197948862216089984,1.9027900695800781,20.791187286376953,5.695127677422379
198081112850663040,0.9579229354858398,11.159985542297363,7.171993538160513
198089737144443392,3.7914276123046875,17.6033878326416,14.56521640369451
202656004640899328,1.6714191436767578,19.59063148498535,7.975541619639789
204340765691297536,1.5428285598754883,13.460285186767578,5.150199920071403
204349428640798592,2.8646717071533203,17.44886016845703,6.143778534366406
204608432346673536,0.8773040771484375,19.345998764038086,8.963359695358617
204718452231396480,2.8788414001464844,16.302932739257812,5.43058651945916
204744252098230656,2.8445024490356445,16.96975326538086,5.391043927567155
204813250750279808,2.527782440185547,15.966849327087402,8.1365167031605
204818198552930944,2.4347705841064453,15.806807518005371,5.258610669996462
204864854778465024,3.461353302001953,18.578140258789062,5.436135002656838
205404371393480064,0.11240577697753906,17.60272216796875,7.538423825412342
205450241643559296,1.7901792526245117,13.25071907043457,7.496824055454298
205559612986301952,3.0135746002197266,16.905635833740234,9.813352070199617
205565041821656704,0.8821811676025391,19.840076446533203,10.30725684955393
205664959946507392,0.5063934326171875,19.65300178527832,5.870952192219507
205687976670269696,1.43511962890625,13.360820770263672,5.092408167829018
205743403223577600,3.626737594604492,18.23646354675293,12.304168907733635
205760995413124864,2.2298974990844727,15.626969337463379,6.656409977072303
205814974561867648,2.9382286071777344,15.478630065917969,9.406061694874747
205822568062818048,1.4749088287353516,20.844097137451172,7.497454444162203
205823663277110016,2.042290687561035,12.550528526306152,15.552662937668575
205851842560939392,2.4522275924682617,14.198643684387207,12.518545706491087
205864693101150976,3.335844039916992,19.45842742919922,5.822888200361774
